GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
1400000US42001031401,42001031401,"Census Tract 314.01, Adams County, Pennsylvania",1641,79,1382,93,10,17,1372,97,852,118,97,48,1229,107,472,97,69,39,7,11,8,14,15,17,244,67
1400000US42001031402,42001031402,"Census Tract 314.02, Adams County, Pennsylvania",840,59,608,62,4,6,604,61,365,59,39,24,522,61,226,51,68,28,4,6,0,10,59,51,173,45
1400000US42001031501,42001031501,"Census Tract 315.01, Adams County, Pennsylvania",527,74,368,63,0,10,368,63,257,57,11,13,345,61,103,42,20,17,0,10,0,10,21,17,138,50
1400000US42001031502,42001031502,"Census Tract 315.02, Adams County, Pennsylvania",1758,159,1168,179,7,12,1161,179,630,152,90,71,1015,155,509,105,51,36,11,18,11,18,58,37,532,118
1400000US42001031600,42001031600,"Census Tract 316, Adams County, Pennsylvania",2703,134,2394,133,39,30,2355,133,1391,124,137,55,2134,123,860,116,129,64,61,49,0,15,71,37,238,62
1400000US42001031700,42001031700,"Census Tract 317, Adams County, Pennsylvania",1029,76,747,62,16,13,731,63,340,52,27,19,679,64,364,64,32,18,15,12,0,10,25,16,257,59
1400000US42003010300,42003010300,"Census Tract 103, Allegheny County, Pennsylvania",291,60,232,61,0,15,232,61,127,47,12,13,220,59,105,44,0,15,0,15,0,15,13,15,46,33
1400000US42003020100,42003020100,"Census Tract 201, Allegheny County, Pennsylvania",2370,187,1977,208,14,23,1963,213,1542,209,210,103,1743,206,398,114,35,33,0,10,10,15,166,86,227,78
1400000US42003020300,42003020300,"Census Tract 203, Allegheny County, Pennsylvania",641,54,591,60,0,10,591,60,469,59,26,21,554,58,111,51,11,17,0,10,0,10,15,21,35,41
1400000US42003030500,42003030500,"Census Tract 305, Allegheny County, Pennsylvania",1096,109,594,129,10,15,584,126,377,112,53,41,506,118,193,78,24,24,0,10,6,11,39,55,463,124
1400000US42003040200,42003040200,"Census Tract 402, Allegheny County, Pennsylvania",629,65,435,76,14,15,421,77,223,72,26,34,395,78,191,75,19,17,0,10,0,10,15,16,179,67
1400000US42003040400,42003040400,"Census Tract 404, Allegheny County, Pennsylvania",1197,134,909,117,0,10,909,117,520,93,56,50,829,126,389,114,22,25,0,10,0,10,183,116,105,49
1400000US42003040500,42003040500,"Census Tract 405, Allegheny County, Pennsylvania",1132,99,1022,109,0,10,1022,109,526,119,24,22,991,110,483,111,20,24,0,10,0,10,61,62,49,37
1400000US42003040600,42003040600,"Census Tract 406, Allegheny County, Pennsylvania",892,91,748,103,0,10,748,103,452,100,44,51,704,110,296,94,11,17,0,10,0,10,15,26,129,59
1400000US42003040900,42003040900,"Census Tract 409, Allegheny County, Pennsylvania",1288,79,1022,108,11,16,1011,108,643,113,136,87,837,118,368,91,16,18,0,10,0,10,81,55,185,67
1400000US42003050100,42003050100,"Census Tract 501, Allegheny County, Pennsylvania",996,72,492,107,7,10,485,107,232,69,23,17,435,109,198,96,46,39,0,10,21,34,47,37,457,103
1400000US42003050600,42003050600,"Census Tract 506, Allegheny County, Pennsylvania",906,100,577,107,0,10,577,107,316,80,28,25,538,109,212,82,71,41,11,17,0,10,30,36,299,93
1400000US42003050900,42003050900,"Census Tract 509, Allegheny County, Pennsylvania",790,49,353,87,0,10,353,87,210,71,89,57,247,79,126,56,22,24,6,9,11,19,114,64,323,77
1400000US42003051000,42003051000,"Census Tract 510, Allegheny County, Pennsylvania",724,88,489,101,0,10,489,101,244,88,17,20,472,99,224,77,38,35,0,10,0,10,45,33,190,48
1400000US42003051100,42003051100,"Census Tract 511, Allegheny County, Pennsylvania",82,34,38,21,0,10,38,21,32,19,0,10,38,21,6,8,0,10,0,10,0,10,0,10,44,30
1400000US42003060300,42003060300,"Census Tract 603, Allegheny County, Pennsylvania",1246,87,990,95,0,10,990,95,676,97,133,79,837,110,295,81,44,38,0,10,0,10,77,46,179,60
1400000US42003060500,42003060500,"Census Tract 605, Allegheny County, Pennsylvania",716,87,537,89,10,10,527,89,317,87,21,16,498,84,204,68,6,9,0,10,0,10,12,13,167,42
1400000US42003070300,42003070300,"Census Tract 703, Allegheny County, Pennsylvania",1139,91,1079,95,13,11,1066,95,646,111,9,15,1038,90,386,110,47,32,11,18,0,10,7,11,53,46
1400000US42003070500,42003070500,"Census Tract 705, Allegheny County, Pennsylvania",1789,98,1665,102,6,10,1659,102,1169,118,58,31,1547,101,481,108,27,26,0,10,9,15,41,27,83,53
1400000US42003070600,42003070600,"Census Tract 706, Allegheny County, Pennsylvania",1263,116,1165,113,0,10,1165,113,646,116,42,31,1101,113,502,107,10,15,10,15,0,10,34,34,64,41
1400000US42003070800,42003070800,"Census Tract 708, Allegheny County, Pennsylvania",1068,70,967,82,0,10,967,82,659,102,67,46,890,91,302,108,26,31,0,10,0,10,10,17,91,49
1400000US42003070900,42003070900,"Census Tract 709, Allegheny County, Pennsylvania",2470,186,2206,215,15,24,2191,216,1379,246,56,51,2038,220,714,185,123,107,83,108,0,10,54,47,210,124
1400000US42003080200,42003080200,"Census Tract 802, Allegheny County, Pennsylvania",871,77,592,72,0,10,592,72,330,76,49,27,530,72,242,58,9,10,5,8,0,10,57,36,222,78
1400000US42003080400,42003080400,"Census Tract 804, Allegheny County, Pennsylvania",805,47,667,70,0,10,667,70,442,69,54,32,613,74,210,58,7,10,0,10,0,10,35,34,103,58
1400000US42003080600,42003080600,"Census Tract 806, Allegheny County, Pennsylvania",1082,82,918,110,0,10,918,110,566,95,53,39,845,107,318,84,0,10,0,10,20,22,52,42,112,73
1400000US42003080700,42003080700,"Census Tract 807, Allegheny County, Pennsylvania",1138,73,931,106,0,10,931,106,574,98,62,56,860,115,341,113,9,14,9,14,0,10,102,87,105,71
1400000US42003080900,42003080900,"Census Tract 809, Allegheny County, Pennsylvania",989,76,838,75,22,17,816,78,528,73,39,32,777,85,283,70,11,12,0,10,0,10,29,24,122,44
1400000US42003090100,42003090100,"Census Tract 901, Allegheny County, Pennsylvania",1041,61,733,89,0,10,733,89,512,85,25,16,680,88,210,65,50,30,11,16,0,10,67,44,241,78
1400000US42003090200,42003090200,"Census Tract 902, Allegheny County, Pennsylvania",1326,112,976,99,10,15,966,99,558,90,56,32,880,94,378,90,30,28,14,21,0,10,88,67,262,84
1400000US42003090300,42003090300,"Census Tract 903, Allegheny County, Pennsylvania",882,76,653,71,0,10,653,71,401,74,63,42,579,77,252,71,16,14,0,10,0,10,14,12,215,58
1400000US42003100500,42003100500,"Census Tract 1005, Allegheny County, Pennsylvania",910,60,658,82,0,10,658,82,448,72,48,28,610,80,198,52,18,17,0,10,0,10,39,30,213,77
1400000US42003101100,42003101100,"Census Tract 1011, Allegheny County, Pennsylvania",1303,107,1054,120,0,10,1054,120,772,105,36,39,1016,118,265,88,30,32,0,10,0,10,80,68,169,71
1400000US42003101400,42003101400,"Census Tract 1014, Allegheny County, Pennsylvania",1503,83,1136,108,9,15,1127,108,705,113,115,75,1012,108,378,96,12,19,0,10,0,10,64,45,303,97
1400000US42003101600,42003101600,"Census Tract 1016, Allegheny County, Pennsylvania",398,32,298,34,0,10,298,34,143,40,37,28,255,46,137,32,0,10,0,10,0,10,26,26,74,32
1400000US42003101700,42003101700,"Census Tract 1017, Allegheny County, Pennsylvania",639,64,472,68,8,9,464,70,262,74,62,47,399,64,192,50,14,14,3,5,0,10,11,16,156,51
1400000US42003101800,42003101800,"Census Tract 1018, Allegheny County, Pennsylvania",1185,57,1029,72,6,10,1023,72,597,107,43,38,956,76,410,89,36,34,0,10,9,14,35,47,121,50
1400000US42003110200,42003110200,"Census Tract 1102, Allegheny County, Pennsylvania",1996,143,1549,180,0,10,1549,180,1207,193,136,74,1372,185,306,121,124,73,15,24,0,10,103,99,344,137
1400000US42003110600,42003110600,"Census Tract 1106, Allegheny County, Pennsylvania",1098,42,939,72,13,20,926,77,621,94,70,47,819,82,282,85,27,26,0,10,16,15,20,24,139,79
1400000US42003111300,42003111300,"Census Tract 1113, Allegheny County, Pennsylvania",1350,109,1067,118,0,10,1067,118,637,146,126,77,923,112,430,107,26,24,0,10,0,10,48,39,235,72
1400000US42003111400,42003111400,"Census Tract 1114, Allegheny County, Pennsylvania",596,63,411,59,0,10,411,59,197,62,57,34,323,54,189,50,25,36,25,36,0,10,17,16,168,50
1400000US42003111500,42003111500,"Census Tract 1115, Allegheny County, Pennsylvania",1788,126,1248,158,0,10,1248,158,808,162,125,84,1063,162,440,152,51,44,0,10,0,10,104,105,436,107
1400000US42003120300,42003120300,"Census Tract 1203, Allegheny County, Pennsylvania",733,77,527,77,4,7,523,76,338,91,35,30,427,76,152,75,65,50,33,38,0,10,25,21,181,66
1400000US42003120400,42003120400,"Census Tract 1204, Allegheny County, Pennsylvania",363,50,159,38,0,10,159,38,65,28,22,17,118,28,75,28,14,23,14,23,0,10,18,20,186,56
1400000US42003120700,42003120700,"Census Tract 1207, Allegheny County, Pennsylvania",407,58,194,60,0,10,194,60,131,50,36,32,153,56,63,41,5,10,0,10,0,10,17,16,196,65
1400000US42003120800,42003120800,"Census Tract 1208, Allegheny County, Pennsylvania",235,33,107,38,0,10,107,38,61,32,24,20,71,35,46,25,0,10,0,10,0,10,12,13,116,42
1400000US42003130100,42003130100,"Census Tract 1301, Allegheny County, Pennsylvania",777,94,399,83,3,5,396,83,260,81,37,31,330,89,124,58,6,8,0,10,6,9,51,43,327,79
1400000US42003130200,42003130200,"Census Tract 1302, Allegheny County, Pennsylvania",491,59,342,74,5,8,337,74,191,72,60,45,268,55,132,53,9,10,5,8,0,10,27,26,122,52
1400000US42003130300,42003130300,"Census Tract 1303, Allegheny County, Pennsylvania",619,61,328,54,5,8,323,55,205,59,94,50,223,53,118,46,11,15,0,10,0,10,22,23,269,71
1400000US42003130400,42003130400,"Census Tract 1304, Allegheny County, Pennsylvania",430,62,193,52,0,10,193,52,138,50,51,32,142,52,47,25,0,10,0,10,0,10,23,23,214,54
1400000US42003130600,42003130600,"Census Tract 1306, Allegheny County, Pennsylvania",1419,109,940,119,8,14,932,118,589,174,88,61,798,128,337,142,61,74,0,10,0,10,0,10,479,130
1400000US42003140100,42003140100,"Census Tract 1401, Allegheny County, Pennsylvania",899,78,836,86,15,16,821,83,614,84,17,20,797,78,200,63,13,16,7,12,0,15,20,32,43,38
1400000US42003140200,42003140200,"Census Tract 1402, Allegheny County, Pennsylvania",1041,75,946,77,10,16,936,77,782,85,29,27,907,84,145,50,9,13,0,10,0,10,70,63,25,30
1400000US42003140300,42003140300,"Census Tract 1403, Allegheny County, Pennsylvania",1489,77,1368,91,0,10,1368,91,851,113,45,34,1302,93,508,122,30,29,9,14,0,10,41,28,80,49
1400000US42003140400,42003140400,"Census Tract 1404, Allegheny County, Pennsylvania",979,37,917,43,0,10,917,43,716,53,31,20,882,46,189,46,16,15,0,10,0,10,26,19,36,20
1400000US42003140500,42003140500,"Census Tract 1405, Allegheny County, Pennsylvania",1044,99,872,127,0,10,872,127,678,132,78,73,784,124,194,80,0,10,0,10,0,10,30,44,142,94
1400000US42003140600,42003140600,"Census Tract 1406, Allegheny County, Pennsylvania",1466,67,1344,79,0,10,1344,79,887,102,50,54,1253,79,447,88,23,23,10,15,0,10,44,32,78,41
1400000US42003140800,42003140800,"Census Tract 1408, Allegheny County, Pennsylvania",1954,85,1792,97,0,10,1792,97,1219,112,129,47,1624,112,546,111,56,40,17,25,0,10,12,19,150,70
1400000US42003141000,42003141000,"Census Tract 1410, Allegheny County, Pennsylvania",454,41,390,40,7,10,383,41,252,42,12,11,371,43,131,45,0,10,0,10,0,10,12,13,52,21
1400000US42003141100,42003141100,"Census Tract 1411, Allegheny County, Pennsylvania",602,39,480,51,0,10,480,51,284,60,17,14,454,55,193,49,12,14,0,10,0,10,6,9,116,40
1400000US42003141300,42003141300,"Census Tract 1413, Allegheny County, Pennsylvania",2508,96,2111,140,0,15,2111,140,1306,197,84,56,1986,143,747,184,74,56,0,15,0,15,90,75,307,116
1400000US42003141400,42003141400,"Census Tract 1414, Allegheny County, Pennsylvania",2517,193,2060,169,0,15,2060,169,1337,182,24,29,2019,168,708,165,80,47,0,15,0,15,95,58,362,139
1400000US42003151600,42003151600,"Census Tract 1516, Allegheny County, Pennsylvania",1141,80,860,93,58,55,802,111,543,102,9,14,778,106,252,93,15,18,0,10,0,10,27,24,254,76
1400000US42003151700,42003151700,"Census Tract 1517, Allegheny County, Pennsylvania",2442,124,2059,157,16,25,2043,157,1205,170,60,47,1921,167,821,170,118,81,0,15,0,15,28,39,355,139
1400000US42003160800,42003160800,"Census Tract 1608, Allegheny County, Pennsylvania",1318,118,1099,128,0,10,1099,128,692,131,50,57,1040,119,397,114,8,12,0,10,0,10,21,18,198,64
1400000US42003160900,42003160900,"Census Tract 1609, Allegheny County, Pennsylvania",1692,134,1414,142,0,10,1414,142,792,118,73,50,1294,151,607,140,26,25,5,9,0,10,7,11,271,85
1400000US42003170200,42003170200,"Census Tract 1702, Allegheny County, Pennsylvania",1951,210,1478,227,2,12,1476,226,894,190,95,67,1374,230,564,184,31,31,7,13,0,10,109,83,364,129
1400000US42003170600,42003170600,"Census Tract 1706, Allegheny County, Pennsylvania",869,78,705,75,5,7,700,75,357,80,40,38,660,78,343,84,10,10,0,10,0,10,40,32,124,48
1400000US42003180300,42003180300,"Census Tract 1803, Allegheny County, Pennsylvania",951,83,590,115,9,18,581,113,341,113,73,55,483,128,230,121,10,13,10,13,0,10,7,11,354,98
1400000US42003180700,42003180700,"Census Tract 1807, Allegheny County, Pennsylvania",987,63,783,81,5,7,778,81,420,71,41,34,732,87,358,84,15,18,0,10,0,10,14,12,190,57
1400000US42003190300,42003190300,"Census Tract 1903, Allegheny County, Pennsylvania",1009,131,845,136,0,10,845,136,400,100,68,47,777,141,433,110,0,10,0,10,0,10,16,19,148,75
1400000US42003191100,42003191100,"Census Tract 1911, Allegheny County, Pennsylvania",1238,88,978,95,8,13,970,94,550,94,106,40,864,100,420,96,41,40,0,10,0,10,49,48,211,67
1400000US42003191400,42003191400,"Census Tract 1914, Allegheny County, Pennsylvania",1403,123,1119,137,0,10,1119,137,596,112,79,52,1031,138,513,121,40,30,0,10,0,10,79,53,205,73
1400000US42003191500,42003191500,"Census Tract 1915, Allegheny County, Pennsylvania",969,105,743,112,0,10,743,112,381,95,42,37,674,108,348,97,27,36,14,29,0,10,45,48,181,82
1400000US42003191600,42003191600,"Census Tract 1916, Allegheny County, Pennsylvania",1901,107,1468,160,55,41,1413,155,791,135,33,26,1363,154,569,120,63,78,0,10,0,10,100,63,333,117
1400000US42003191700,42003191700,"Census Tract 1917, Allegheny County, Pennsylvania",1524,84,1277,96,0,10,1277,96,818,111,111,63,1139,109,452,98,24,26,7,13,0,10,32,28,215,73
1400000US42003191800,42003191800,"Census Tract 1918, Allegheny County, Pennsylvania",2242,170,1935,172,12,19,1923,172,1240,173,41,42,1844,172,661,168,24,27,8,16,0,15,43,44,264,109
1400000US42003191900,42003191900,"Census Tract 1919, Allegheny County, Pennsylvania",940,93,735,94,9,14,726,95,394,97,26,30,671,92,311,84,54,39,21,26,0,10,20,22,185,76
1400000US42003192000,42003192000,"Census Tract 1920, Allegheny County, Pennsylvania",1580,136,1231,146,21,23,1210,145,791,148,107,72,1096,150,387,105,9,15,0,10,7,11,30,28,319,94
1400000US42003202200,42003202200,"Census Tract 2022, Allegheny County, Pennsylvania",1156,97,959,111,0,10,959,111,631,123,193,99,739,122,312,100,16,25,16,25,0,10,24,28,173,74
1400000US42003202300,42003202300,"Census Tract 2023, Allegheny County, Pennsylvania",1909,141,1602,161,13,22,1589,162,883,179,55,53,1534,164,706,184,15,25,0,10,0,10,28,33,279,106
1400000US42003210700,42003210700,"Census Tract 2107, Allegheny County, Pennsylvania",1129,113,881,116,13,19,868,120,563,118,34,31,826,120,305,112,48,37,0,10,0,10,0,10,248,83
1400000US42003220600,42003220600,"Census Tract 2206, Allegheny County, Pennsylvania",971,66,687,68,12,13,675,68,469,74,55,33,605,69,186,45,4,7,4,7,11,12,53,26,231,62
1400000US42003240600,42003240600,"Census Tract 2406, Allegheny County, Pennsylvania",1151,140,947,134,0,10,947,134,668,145,77,51,827,146,236,89,76,69,43,57,0,10,12,18,192,75
1400000US42003241200,42003241200,"Census Tract 2412, Allegheny County, Pennsylvania",394,55,257,45,5,8,252,46,138,41,18,16,234,44,106,32,12,20,0,10,0,10,10,11,127,44
1400000US42003250300,42003250300,"Census Tract 2503, Allegheny County, Pennsylvania",570,54,498,62,8,12,490,59,343,73,38,33,433,63,125,55,56,31,14,19,0,10,18,24,54,33
1400000US42003250700,42003250700,"Census Tract 2507, Allegheny County, Pennsylvania",303,42,131,48,0,10,131,48,92,45,11,14,92,38,30,22,30,35,0,10,0,10,48,35,124,47
1400000US42003250900,42003250900,"Census Tract 2509, Allegheny County, Pennsylvania",603,66,339,71,0,10,339,71,237,66,29,24,283,69,80,40,29,20,21,15,0,10,59,50,205,59
1400000US42003260200,42003260200,"Census Tract 2602, Allegheny County, Pennsylvania",914,76,673,80,7,10,666,80,450,76,48,29,576,82,198,58,73,54,18,22,0,10,43,38,198,54
1400000US42003260700,42003260700,"Census Tract 2607, Allegheny County, Pennsylvania",738,67,570,71,5,7,565,71,422,73,47,38,512,76,133,46,10,12,6,11,0,10,51,34,117,54
1400000US42003260900,42003260900,"Census Tract 2609, Allegheny County, Pennsylvania",560,71,298,87,0,10,298,87,267,85,142,66,129,64,31,31,46,52,0,10,0,10,26,25,236,86
1400000US42003261200,42003261200,"Census Tract 2612, Allegheny County, Pennsylvania",505,20,409,32,15,21,394,39,259,54,4,7,370,42,115,39,44,35,20,30,0,10,8,12,88,28
1400000US42003261400,42003261400,"Census Tract 2614, Allegheny County, Pennsylvania",984,109,648,138,0,10,648,138,350,101,57,47,581,141,285,115,33,29,10,14,0,10,32,28,304,108
1400000US42003261500,42003261500,"Census Tract 2615, Allegheny County, Pennsylvania",745,69,438,80,5,7,433,79,294,89,38,36,378,74,122,47,16,17,6,9,0,10,15,25,292,78
1400000US42003262000,42003262000,"Census Tract 2620, Allegheny County, Pennsylvania",1208,82,801,131,0,10,801,131,506,117,104,57,687,138,270,105,31,35,10,14,0,10,45,36,362,118
1400000US42003270100,42003270100,"Census Tract 2701, Allegheny County, Pennsylvania",993,95,822,102,0,10,822,102,503,90,64,49,740,108,273,78,84,65,0,10,0,10,55,54,116,69
1400000US42003270300,42003270300,"Census Tract 2703, Allegheny County, Pennsylvania",859,65,541,74,0,10,541,74,290,76,34,29,503,72,202,60,31,29,0,10,0,10,25,21,293,67
1400000US42003270400,42003270400,"Census Tract 2704, Allegheny County, Pennsylvania",449,57,393,55,0,10,393,55,263,60,35,25,346,51,130,35,35,34,0,10,0,10,7,11,49,28
1400000US42003270800,42003270800,"Census Tract 2708, Allegheny County, Pennsylvania",1112,82,859,98,0,10,859,98,537,103,39,31,800,89,280,81,51,41,11,18,0,10,0,10,253,92
1400000US42003271500,42003271500,"Census Tract 2715, Allegheny County, Pennsylvania",1007,127,697,135,0,10,697,135,502,123,115,79,582,129,163,71,44,65,0,10,0,10,45,39,265,96
1400000US42003281400,42003281400,"Census Tract 2814, Allegheny County, Pennsylvania",1082,61,803,86,0,10,803,86,533,83,75,52,640,86,219,69,56,35,27,33,19,32,27,34,252,71
1400000US42003281500,42003281500,"Census Tract 2815, Allegheny County, Pennsylvania",674,51,520,63,4,7,516,63,383,65,49,45,464,61,130,37,10,11,3,5,0,10,34,36,120,54
1400000US42003290100,42003290100,"Census Tract 2901, Allegheny County, Pennsylvania",907,78,720,81,6,9,714,81,432,84,54,35,622,86,235,64,52,29,32,32,0,10,64,55,123,53
1400000US42003290200,42003290200,"Census Tract 2902, Allegheny County, Pennsylvania",1778,115,1345,136,16,17,1329,137,698,139,112,71,1207,126,602,109,35,26,0,10,0,10,61,57,372,95
1400000US42003290400,42003290400,"Census Tract 2904, Allegheny County, Pennsylvania",1863,129,1366,143,9,14,1357,145,828,143,246,114,1099,141,497,126,12,15,0,10,7,11,76,49,421,115
1400000US42003300100,42003300100,"Census Tract 3001, Allegheny County, Pennsylvania",1382,164,933,176,0,10,933,176,517,147,48,37,840,165,378,126,90,90,0,10,29,48,136,100,313,103
1400000US42003310200,42003310200,"Census Tract 3102, Allegheny County, Pennsylvania",1479,69,1041,105,0,10,1041,105,443,92,18,21,989,102,583,109,35,28,0,10,7,10,29,33,409,95
1400000US42003310300,42003310300,"Census Tract 3103, Allegheny County, Pennsylvania",397,34,284,33,0,10,284,33,183,42,4,8,280,34,95,38,0,10,0,10,0,10,35,24,78,26
1400000US42003320400,42003320400,"Census Tract 3204, Allegheny County, Pennsylvania",814,61,636,67,0,10,636,67,413,69,59,45,574,65,218,58,5,8,0,10,0,10,22,15,156,50
1400000US42003320600,42003320600,"Census Tract 3206, Allegheny County, Pennsylvania",1015,55,778,68,5,8,773,67,492,75,86,50,687,69,281,52,4,6,0,10,0,10,45,32,192,54
1400000US42003320700,42003320700,"Census Tract 3207, Allegheny County, Pennsylvania",702,52,564,57,11,12,553,59,330,62,9,11,539,60,223,51,4,8,0,10,0,10,4,7,134,39
1400000US42003401100,42003401100,"Census Tract 4011, Allegheny County, Pennsylvania",2030,131,1541,163,0,10,1541,163,808,161,80,58,1446,169,733,186,25,29,0,10,0,10,15,24,474,126
1400000US42003401200,42003401200,"Census Tract 4012, Allegheny County, Pennsylvania",1293,109,855,127,9,15,846,125,561,101,137,83,702,133,246,81,60,44,7,11,0,10,39,37,399,105
1400000US42003401300,42003401300,"Census Tract 4013, Allegheny County, Pennsylvania",1102,76,970,79,21,22,949,79,635,75,91,37,836,90,314,78,56,37,0,10,0,10,27,26,105,51
1400000US42003402000,42003402000,"Census Tract 4020, Allegheny County, Pennsylvania",1440,94,1088,90,0,10,1088,90,748,95,142,81,933,94,330,73,49,33,4,8,0,10,47,37,305,79
1400000US42003403500,42003403500,"Census Tract 4035, Allegheny County, Pennsylvania",2026,180,1211,225,22,27,1189,222,750,207,141,98,1019,195,439,133,29,31,0,10,0,10,171,122,644,184
