OBJECTID,FID_1,PROJECT_ID,GRP_CODE,PRJ_NAME,PRJ_DESC,START_DATE,END_DATE,contact_di,EMAIL,Mileage,F_STRT_NM,F_CRSST_NM,T_ST_NM,T_CRST_NM,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,Shape__Len,Shape__Length
11,11,D2R1-CC16,SNOW-D2R1,SNOW - HAMMOND ST BR,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.040550392,Hammond St,W Main St,Hammond St,Keystone Dr,-80.09690369,40.40069069,-80.09685912,40.40039812,-80.09679,40.40011,0.000592621,0.000592621
12,12,D2R2-6014-01,SNOW-D2R2,SNOW - BALDWIN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.416301564,Baldwin Rd,Baldwin Rd (6014-02),Baldwin Rd,Steubenville Pike,-80.10038662,40.42548216,-80.09300243,40.43329258,-80.08403166,40.44002,0.023472707,0.023472707
13,13,D2R2-6014-02,SNOW-D2R2,SNOW - BALDWIN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.187171779,Baldwin Rd,Campbells Run Rd,Baldwin Rd,Baldwin Rd (6014-01),-80.10038662,40.42548216,-80.10191419,40.4248249,-80.1034,40.42407,0.003338305,0.003338304
14,14,D1MA-2305-00,SNOW-MA,SNOW - ANDERSON RD (Shaler),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.248388434,Anderson Rd,Vilsack Rd,Anderson Rd,Wible Run Rd,-79.98455659,40.52863243,-79.97964,40.51539254,-79.97584,40.50129,0.035434126,0.035434126
15,15,D2R2-6075-01,SNOW-D2R2,SNOW - CLIFF MINE  RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.672002375,Cliff Mine Rd,Enlow Rd (6293-02),Cliff Mine Rd,Airport Pkwy Ramp,-80.19022,40.4587,-80.19451874,40.45522645,-80.19914,40.45203,0.011364125,0.011364125
16,16,D2R2-6075-02,SNOW-D2R2,SNOW - CORAOPOLIS-IMPERIAL RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.614116868,Coraopolis-Imperial Rd,McClaren Rd (National Guard Entrance),Coraopolis-Imperial Rd,Dead End,-80.21216,40.47514,-80.20787151,40.47209853,-80.2034431,40.46938133,0.010547167,0.010547166
17,17,D2R2-6265-02,SNOW-D2R2,SNOW - RIDGE RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.605205858,Ridge Rd,Ridge Rd (6265-01),Ridge Rd,Ridge Rd (6265-01),-80.15667922,40.43439182,-80.15406659,40.43155958,-80.14944,40.4331,0.009911245,0.009911245
18,18,D2R2-6268-00,SNOW-D2R2,SNOW - KINGS HIGHWAY,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.101537677,Kings Hwy,Baldwin Rd,Kings Hwy,Robinson/Rosslyn Farms Line,-80.09751,40.42898,-80.09664741,40.42865281,-80.09578433,40.42832695,0.001845116,0.001845116
19,19,D2R2-6293-01,SNOW-D2R2,SNOW - CLIFF MINE RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.983767862,Cliff Mine Rd,Main St/Enlow Rd (6347-01),Cliff Mine Rd,Enlow Rd (6293-02),-80.19914,40.45203,-80.21661999,40.45441645,-80.23347755,40.4546534,0.036422487,0.036422486
20,20,D2R2-6293-02,SNOW-D2R2,SNOW - ENLOW RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.11848291,Enlow Rd,Cliff Mine Rd (6293-01),Enlow Rd,Steubenville Pike,-80.19914,40.45203,-80.1927752,40.44581529,-80.18396,40.44364,0.019240827,0.019240827
21,21,D2R2-6295-00,SNOW-D2R2,SNOW - SCOTT  RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.153386094,Scott Rd,Montour Run Rd,Scott Rd,Industrial Park,-80.17626,40.45713,-80.17566609,40.45612895,-80.1751,40.4551,0.002349164,0.002349164
22,22,D2R2-6347-01,SNOW-D2R2,SNOW - ENLOW RD/OLD RT. 978,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.755491567,Enlow Rd,Enlow Rd (6347-02),Enlow Rd,Main St/Cliff Mine Rd (6293-01),-80.23893753,40.46481131,-80.2358367,40.45996165,-80.23364,40.45472,0.011515154,0.011515154
23,23,D2R2-6347-02,SNOW-D2R2,SNOW - ENLOW RD/OLD RT. 978,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.07345632,Enlow Rd,Clinton Enlow Rd,Enlow Rd,Enlow Rd (6347-01),-80.23957,40.46576,-80.23925376,40.46528565,-80.23893753,40.46481131,0.001140193,0.001140193
24,24,D1MA-2309-02,SNOW-MA,SNOW - MIDDLE RD (West Deer),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.019337947,Middle Rd,E Hardies Rd,Middle Rd,Gibsonia Rd,-79.92082,40.6095,-79.91321852,40.61239977,-79.90807,40.61878,0.01720393,0.01720393
25,25,D2R3-6072-01,SNOW-D2R3,SNOW - CAMPBELLS RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.491401703,Campbells Run Rd,Carnegie/Robinson Line,Campbells Run Rd,2600' NW of Carnegie/Robinson Line,-80.10204,40.4214,-80.10072921,40.41780885,-80.09795735,40.41517475,0.007664898,0.007664898
26,26,D2R3-6072-05,SNOW-D2R3,SNOW - OLD CAMPBELLS RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.260943417,Old Campbells Run Rd,Campbells Run Rd (6072-03),Old Campbells Run Rd,Dead End,-80.11201889,40.42560753,-80.11012273,40.42460823,-80.10781334,40.42424081,0.004729211,0.004729211
27,27,D2R3-6072-06,SNOW-D2R3,SNOW - OLD CAMPBELLS RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.281600329,Old Campbells Run Rd, Campbells Run Rd (6072-01),Old Campbells Run Rd,Dead End,-80.09959,40.41664,-80.09743181,40.41588001,-80.09647234,40.41379703,0.004641256,0.004641256
28,28,D2R3-6072-07,SNOW-D2R3,SNOW - OLD CAMPBELLS RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.337209854,Old Campbells Run Rd,Campbells Run Rd (6072-08),Old Campbells Run Rd,Dead End,-80.16435,40.4462,-80.1616611,40.44489448,-80.159045,40.44379,0.005994562,0.005994563
29,29,D2R3-6072-08,SNOW-D2R3,SNOW - CAMPBELLS RUN RD EXT,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.325942361,Campbells Run Rd Ext,Steubenville Pike,Campbells Run Rd Ext,Marquis Plz,-80.15795,40.44845,-80.15862254,40.44615176,-80.1588,40.44382,0.004789531,0.004789531
30,30,D2R3-6072-09,SNOW-D2R3,SNOW - CAMPBELLS RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.739256256,Campbells Run Rd,Carnegie/Robinson Line,Campbells Run Rd,Mansfield Blvd,-80.08904,40.40733,-80.09358393,40.41124629,-80.09795735,40.41517475,0.01224145,0.01224145
31,31,D2R3-6306-01,SNOW-D2R3,SNOW - THOMS RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,3.21538535,Thoms Run Rd,Battle Ridge Rd,Thoms Run Rd,Washington Pike,-80.14847,40.37842,-80.12123665,40.37269777,-80.09484,40.38108,0.058163068,0.058163068
32,32,D2R3-6306-02,SNOW-D2R3,SNOW - THOMS RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.445414997,Thoms Run Rd,Oakdale/S Fayette Line,Thoms Run Rd,Battle Ridge Rd,-80.18186,40.39674,-80.16240173,40.39450629,-80.15112,40.37914,0.041391802,0.041391802
33,33,D2R4-6071-01,SNOW-D2R4,SNOW - CLEVER RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.424950883,Clever Rd,N Silver Ln/S Silver Ln,Clever Rd,McKees Rocks Rd,-80.1377,40.46595,-80.11659693,40.46843923,-80.09792,40.46888,0.043702736,0.043702736
34,34,D2R4-6071-03,SNOW-D2R4,SNOW - CLEVER RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.864310982,Clever Rd,Beaver Grade Rd,Clever Rd,N Silver Ln/S Silver Ln,-80.1377,40.46595,-80.14501405,40.46381198,-80.15198,40.46161,0.01559072,0.015590721
35,35,D1MA-2309-03,SNOW-MA,SNOW - MIDDLE RD EXT (West Deer),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.545946484,Middle Road Ext,Bairdford Rd,Middle Road Ext,Gibsonia Rd,-79.89593,40.64995,-79.8980605,40.63295368,-79.90484,40.61831,0.039677964,0.039677964
36,36,D2R4-6196-01,SNOW-D2R4,SNOW - McCOY RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.939175338,McCoy Rd,Pine Hollow Rd,McCoy Rd,Kennedy/Stowe Line,-80.09736,40.47543,-80.09169687,40.48042019,-80.08344501,40.4798021,0.016614958,0.016614957
37,37,D2R4-6197-01,SNOW-D2R4,SNOW - FOREST GROVE RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.403308972,Forest Grove Rd,N Silver Ln,Forest Grove Rd,Coraopolis Rd,-80.13186,40.48129,-80.11999966,40.48061562,-80.10737,40.4814,0.025845941,0.025845941
38,38,D2R4-6197-02,SNOW-D2R4,SNOW - FOREST GROVE/PINE HOLLOW RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.705279155,Forest Grove Rd,Coraopolis Rd,Pine Hollow Rd,McCoy Rd,-80.10737,40.4814,-80.10275599,40.47779644,-80.09736,40.47543,0.012172561,0.01217256
39,39,D2R4-6199-01,SNOW-D2R4,SNOW - McKEES ROCKS RD/ MIDDLETOWN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.877562893,McKees Rocks Rd,Lorish Rd,McKees Rocks Rd,Chartiers Avenue Ext,-80.10875582,40.45118164,-80.09872732,40.46787535,-80.07739219,40.46658913,0.048347346,0.048347345
40,40,D2R4-6199-02,SNOW-D2R4,SNOW - HECKEL RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.43956358,Heckel Rd,Pine Hollow Rd,Heckel Rd,Mckees Rocks Rd,-80.09665,40.47527,-80.09374078,40.47303816,-80.09131,40.47065,0.007336228,0.007336228
41,41,D2R4-6199-04,SNOW-D2R4,SNOW - LORISH RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.144610878,Lorish Rd,Robinson/Kennedy Line,Lorish Rd,Steubenville Pike,-80.10875582,40.45118164,-80.1078767,40.45042271,-80.10743,40.44949,0.002334344,0.002334345
42,42,D2R4-6205-00,SNOW-D2R4,SNOW - CORAOPOLIS RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.092916227,Coraopolis Rd,Stanford Ct,Coraopolis Rd,Forest Grove Rd,-80.10746965,40.48163899,-80.10795283,40.48923563,-80.10764,40.48142,0.016839999,0.01684
43,43,D2R4-CC02,SNOW-D2R4,SNOW - WINDGAP AVE BR,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.14933134,Windgap Ave,Bridge Limit,Windgap Ave,Bridge Limit,-80.07559651,40.46239145,-80.07505877,40.46339542,-80.07449663,40.46438544,0.002277981,0.00227798
44,44,D2R5-6230-01,SNOW-D2R5,SNOW - GRAND AVE/NEVILLE RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,4.229267097,Grand Ave,Coraopolis Br (OB-02),Neville Rd,Fleming Park Br (OB-04),-80.1512346,40.51725509,-80.11564459,40.50622065,-80.07990662,40.49215181,0.076792389,0.076792389
45,45,D2R5-6230-02,SNOW-D2R5,SNOW - GRAND AVE,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.723958194,Grand Ave,Grand Ave/Neville Rd (6230-01),Grand Ave,Neville Rd (6230-01),-80.12979,40.51156,-80.11445608,40.50831614,-80.10213,40.50214,0.031425223,0.031425222
46,46,D1MA-2312-01,SNOW-MA,SNOW - IVORY AVE/MT TROY RD (Reserve),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.792203022,Ivory Ave,Rodenbaugh Ave,Mt Troy Rd,Pittsburgh/Reserve Line (2312-02),-80.01796,40.49712,-80.01102968,40.49672576,-80.00397124,40.4962944,0.014453668,0.014453668
47,47,D2R5-OB02,SNOW-D2R5,SNOW - CORAOPOLIS BR,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.144351113,Coraopolis Br,Bridge Limit,Coraopolis Br,Bridge Limit,-80.15250682,40.51532487,-80.15198361,40.51625074,-80.1514604,40.51717662,0.00229582,0.002295821
48,48,D2R5-OB04,SNOW-D2R5,SNOW - FLEMING PARK BR,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.172600709,Fleming Park Br (Neville Rd),Bridge Limit,Fleming Park Br (Neville Rd),Bridge Limit,-80.07984225,40.4896836,-80.07986815,40.49093429,-80.07991198,40.49218445,0.002501933,0.002501932
49,49,D2R6-2AG01,SNOW-D2R6,SNOW - ADE WAY (1) (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.196190058,Ade Way,Duncan Way,Ade Way,Moffat Way,-80.077,40.41497,-80.07569571,40.41598943,-80.07437,40.41698,0.003310879,0.00331088
50,50,D2R6-2AG02,SNOW-D2R6,SNOW - ALTER RD (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.228973832,Alter Rd,Bell Ave,Alter Rd,Noblestown Rd,-80.07632,40.41614,-80.07480149,40.41495114,-80.07327,40.41378,0.003857802,0.003857801
51,51,D2R6-2AG03,SNOW-D2R6,SNOW - ART WAY (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.152187225,Art Way,Duncan Way,Art Way,Woodkirk St,-80.07579,40.41369,-80.07477022,40.41447029,-80.07375,40.41525,0.002568113,0.002568113
52,52,D2R6-2AG04,SNOW-D2R6,SNOW - BELL AVE (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.33356945,Bell Ave,Duncan Way,Bell Ave,Idlewood Rd,-80.07734,40.41531,-80.07513594,40.41704886,-80.07291,40.41876,0.005615463,0.005615464
53,53,D2R6-2AG05,SNOW-D2R6,SNOW - BERT WAY (1) (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.176528006,Bert Way,Duncan Way,Bert Way,Copley Way,-80.07639,40.41429,-80.0752241,40.41520538,-80.07407,40.41603,0.002964623,0.002964623
54,54,D2R6-2AG06,SNOW-D2R6,SNOW - BERT WAY (2) (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.024503585,Bert Way,Moffat St,Bert Way,Gary St,-80.0736,40.41645,-80.073435,40.416575,-80.07327,40.4167,0.000414005,0.000414005
55,55,D2R6-2AG07,SNOW-D2R6,SNOW - BERT WAY (3) (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.035090799,Bert Way,Pringle St,Bert way,Dead End,-80.07294,40.41702,-80.072705,40.4172,-80.07247,40.41738,0.000592031,0.000592031
56,56,D2R6-2AG08,SNOW-D2R6,SNOW - CARBON ST (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.115428549,Carbon St,Woodkirk St,Carbon St,Dead End,-80.07631,40.41721,-80.07568896,40.41787355,-80.07505,40.41843,0.001876745,0.001876745
57,57,D1MA-2312-02,SNOW-MA,SNOW - MT TROY RD/PITTVIEW AVE (Reserve),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.989357207,Mt Troy Rd,Pittsburgh/Reserve Line (2312-01),Pittsview Ave,Rialto St,-79.98416656,40.47380787,-79.98919704,40.48157378,-79.98303041,40.46728241,0.0490544,0.049054401
58,58,D2R6-2AG09,SNOW-D2R6,SNOW - CHARTIERS AVE (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.493534987,Chartiers Ave,Promenade St,Chartiers Ave,Morange Rd,-80.08178,40.42373,-80.07734782,40.42455589,-80.07316,40.42606,0.009073905,0.009073906
59,59,D2R6-2AG10,SNOW-D2R6,SNOW - COPLEY WAY (1) (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.058627523,Copley Way,Carbon St,Copley Way,Bell Ave,-80.07596,40.41762,-80.07556,40.417325,-80.07516,40.41703,0.000994032,0.000994033
60,60,D2R6-2AG11,SNOW-D2R6,SNOW - COPLEY WAY (2) (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.097892341,Copley Way,Bert Way,Copley Way,Kitchener St,-80.07407,40.41603,-80.07338994,40.41564286,-80.07277,40.41513,0.001656776,0.001656776
61,61,D2R6-2AG12,SNOW-D2R6,SNOW - DOOLITTLE ST (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.147292871,Doolittle St,Duncan Way,Doolittle St,Woodkirk St,-80.07608,40.41399,-80.07508764,40.41473427,-80.07412,40.41551,0.002480909,0.002480909
62,62,D2R6-2AG13,SNOW-D2R6,SNOW - DUNCAN WAY (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.195737971,Duncan Way,Bell Ave,Duncan Way,Kitchener St,-80.07734,40.41531,-80.07625065,40.41415514,-80.07514,40.41304,0.003176546,0.003176546
63,63,D2R6-2AG14,SNOW-D2R6,SNOW - GARY ST (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.102829887,Gary St,Idlewood Ave,Gary St,Dead End,-80.0736,40.41698,-80.07429403,40.41749843,-80.07497,40.41804,0.001732565,0.001732565
64,64,D2R6-2AG15,SNOW-D2R6,SNOW - GARY WAY (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.068511556,Gary Way,Bert Way,Gary Way,Dead End,-80.07327,40.4167,-80.0728068,40.41635194,-80.0723436,40.41600389,0.001158784,0.001158784
65,65,D2R6-2AG16,SNOW-D2R6,SNOW - IDLEWOOD AVE (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.322958509,Idlewood Ave,Duncan Way,Idlewood Ave,Idlewood Rd,-80.07668,40.41461,-80.07453167,40.41627463,-80.0724,40.41795,0.005435569,0.005435569
66,66,D2R6-2AG17,SNOW-D2R6,SNOW - IDLEWOOD RD (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.575421551,Idlewood Rd,Morange Rd,Idlewood Rd,Idlewood Ave,-80.0724,40.41795,-80.07459621,40.42166757,-80.07256,40.42535,0.008858259,0.008858259
67,67,D2R6-2AG18,SNOW-D2R6,SNOW - KITCHENER WAY (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.091861454,Kitchener Way,Noblestown Rd,Kitchener Way,Dead End,-80.0751322,40.41304773,-80.07453325,40.41353098,-80.07393429,40.41401423,0.001539189,0.001539188
68,68,D1MA-2335-00,SNOW-MA,SNOW - WIBLE RUN RD (Shaler),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.599387326,Wible Run Rd,Anderson Rd,Wible Run Rd,Evergreen Rd,-79.96961,40.50634,-79.97677715,40.52104198,-79.97807,40.49872,0.042416359,0.04241636
69,69,D2R6-2AG19,SNOW-D2R6,SNOW - KITCHENER WAY (2) (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.049417933,Kitchener Way,Copley Way,Kitchener Way,Dead End,-80.07277,40.41513,-80.07300146,40.41481074,-80.07327799,40.41453183,0.000788666,0.000788665
70,70,D2R6-2AG20,SNOW-D2R6,SNOW - MOFFATT WAY (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.229686656,Moffatt Way,Carbon St,Moffatt Way,Dead End,-80.07554,40.41786,-80.07397335,40.41672616,-80.07246884,40.41550968,0.00387476,0.003874761
71,71,D2R6-2AG21,SNOW-D2R6,SNOW - MORANGE RD (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.53579323,Morange Rd,Chartiers Ave,Morange Rd,Noblestown Rd,-80.07316,40.42606,-80.06994336,40.42335305,-80.06685,40.42063,0.008908995,0.008908994
72,72,D2R6-2AG22,SNOW-D2R6,SNOW - NOBLESTOWN RD (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.117356141,Noblestown Rd,Kitchener Way,Noblestown Rd,Alter Rd,-80.07514,40.41304,-80.07413508,40.4131971,-80.07327,40.41378,0.002088823,0.002088823
